question,predicted_marks
How Proof of consensus  algorithm works?,8
How Proof of stake algorithm works?,8
explain working of proof of work algorithm?,7
explain working of SHA-256 hashing algorithm?,7
What is Metamask? Illustrate in detail,6
Explain Smart Contracts and its types?,6
List & explain types of crypto currency,5
explain in detail following blockchain platform i)Public ii)Private iii)Consortium iv)IoTA,5
Give the difference between cold wallet and hot wallet,4
What is Ethereum Virtual Machine?,4
